Xpos(316/1364),Ypos(95/1028)
975.89814944,412.67051668
978.652444051,417.72592128
981.314033564,422.966642834
983.882917978,428.392681344
986.359097295,434.004036808
988.742571513,439.800709228
991.033340632,445.782698602
993.202088759,451.782698602
995.220836885,457.782698602
997.063249436,463.782698602
998.704922806,469.782698602
1000.12365273,475.782698602
1001.29967755,481.782698602
1002.21589475,487.782698602
1002.85804832,493.782698602
1003.21488493,499.7754037
1003.27827726,505.730482306
1003.04822531,511.647934419
1002.52472907,517.527760039
1001.70778856,523.369959166
1000.59740377,529.174531801
999.193574701,534.941477942
997.496301349,540.670797591
995.505583717,546.362490748
993.221421805,552.016557411
990.643815612,557.632997582
987.77276514,563.21181126
984.608270387,568.752998445
981.150331354,574.256559138
977.398948041,579.722493338
973.354120447,585.150801045
969.015848573,590.541482259
964.384132419,595.89453698
959.458971985,601.209965209
954.235454982,606.456751977
948.71193798,611.603538744
942.890064408,616.618966973
936.890064408,621.472021695
930.890064408,626.132371318
924.890064408,630.570699948
918.890064408,634.759028578
912.890064408,638.671021633
906.890064408,642.282275506
900.890064408,645.570585931
894.890064408,648.516191257
888.890064408,651.101988963
882.890064408,653.313723031
876.890064408,655.140140144
870.890064408,656.573112978
864.890064408,657.607729242
858.890064408,658.242345507
852.921422947,658.478605203
847.015154994,658.321420618
841.201592138,657.778919079
835.510050276,656.862353903
829.968508413,655.585981105
824.603302126,653.966903209
819.438835021,652.024881866
814.497311364,649.78212134
809.778731154,647.238621633
805.283094392,644.394382744
801.010401078,641.249404672
796.960651211,637.803687419
793.133844792,634.057230984
789.529981821,630.010035367
786.149062297,625.662100569
782.991086221,621.013426588
780.056053592,616.064013425
777.343964411,610.813861081
774.854818678,605.262969554
772.588616392,599.411338846
770.545357554,593.411338846
768.725042164,587.411338846
767.127670222,581.411338846
765.753241727,575.411338846
764.601756679,569.411338846
763.673215079,563.411338846
762.967616927,557.411338846
762.484962223,551.411338846
762.225250966,545.411338846
762.188483157,539.411338846
762.374658795,533.411338846
762.783777882,527.411338846
763.435602066,521.411338846
764.347233872,515.411338846
765.532929315,509.411338846
767.003941712,503.411338846
768.76839839,497.411338846
770.831211637,491.411338846
773.194024883,485.411338846
775.855194699,479.411338846
778.809808794,473.411338846
782.049739844,467.411338846
785.563734532,461.433359839
789.337536841,455.505380832
793.354044248,449.6537374
797.593495103,443.902833151
802.055889405,438.252668083
806.741227155,432.703242198
811.649508352,427.254555494
816.780732998,421.906607972
822.134901091,416.659399632
827.712012631,411.512930474
833.512067619,406.467200498
839.512067619,401.522209704
845.512067619,396.700162357
851.512067619,392.020820109
857.512067619,387.501285482
863.512067619,383.155814492
869.512067619,378.995660457
875.512067619,375.028950702
881.512067619,371.260597516
887.512067619,367.69224433
893.512067619,364.323891144
899.512067619,361.155537958
905.512067619,358.187184772
911.512067619,355.418831585
917.512067619,352.850478399
923.512067619,350.482125213
929.512067619,348.313772027
935.512067619,346.345418841
941.512067619,344.577065655
947.512067619,343.008712469
953.48070908,341.638715851
959.386977034,340.462163514
